neighborhood_municipality	individuals_tested	infections	reinfections	deaths	hospitalizations	tests	postives	ag_tests	positive_ag_tests	pcr_tests	positive_pcr_tests	update_date
Perry North (Pittsburgh)	2659	3505	167	7	40	8621	982	2022	180	6599	802	2022-04-04
Perry South (Pittsburgh)	2935	3936	214	11	64	10832	992	2860	146	7974	845	2022-04-04
Pine	10250	11294	473	13	61	30659	3215	8155	763	22430	2432	2022-04-04
Pitcairn	1900	2672	142	9	42	6864	766	2003	207	4860	557	2022-04-04
Pleasant Hills	5970	9367	617	33	90	21774	2449	5584	684	16220	1761	2022-04-04
Plum	17045	22360	1690	70	269	55909	6651	16431	1952	39427	4687	2022-04-04
Point Breeze (Pittsburgh)	4639	3017	88	3	14	15496	879	2350	106	13142	771	2022-04-04
Point Breeze North (Pittsburgh)	1570	1382	76	2	18	5627	412	857	55	4770	357	2022-04-04
Polish Hill (Pittsburgh)	852	899	23	0	8	3218	256	518	52	2697	204	2022-04-04
Port Vue	2428	3872	371	13	64	8630	1196	2204	222	6433	974	2022-04-04
Rankin	888	1111	124	1	26	2674	328	411	32	2268	296	2022-04-04
Regent Square (Pittsburgh)	780	625	4	2	4	2736	169	477	26	2257	143	2022-04-04
Reserve	2006	2436	137	6	34	6246	770	1529	163	4704	606	2022-04-04
Richland	8071	9995	623	49	89	27435	2836	10841	773	16564	2048	2022-04-04
Ridgemont (Pittsburgh)	316	453	13	1	0	874	124	231	38	642	86	2022-04-04
Robinson	11358	14833	848	23	113	38681	4206	9559	1259	29106	2931	2022-04-04
Ross	22633	37000	3139	137	351	93925	8029	24277	1891	69476	6116	2022-04-04
Rosslyn Farms	306	213	0	0	2	798	82	229	16	570	66	2022-04-04
Scott	14484	31304	2890	82	146	83791	4934	32204	1326	51561	3583	2022-04-04
Sewickley	2637	2671	138	5	9	8185	744	2109	187	6065	557	2022-04-04
Sewickley Heights	686	683	15	1	3	2116	153	505	34	1607	119	2022-04-04
Sewickley Hills	463	493	41	0	4	1317	141	358	45	950	96	2022-04-04
Shadyside (Pittsburgh)	13457	17220	861	26	88	61511	2947	8632	462	52867	2479	2022-04-04
Shaler	17903	21263	1383	52	259	54447	6731	15217	1623	39138	5088	2022-04-04
Sharpsburg	1950	2341	117	8	44	6429	686	1607	148	4818	535	2022-04-04
Sheraden (Pittsburgh)	3302	4327	278	10	59	10318	1390	2197	233	8122	1155	2022-04-04
South Fayette	11853	21017	1551	63	110	43951	5133	15335	1682	28564	3424	2022-04-04
South Oakland (Pittsburgh)	2466	2437	136	6	21	8936	707	1281	92	7657	612	2022-04-04
South Park	8833	11087	610	15	100	27042	3694	7555	1097	19444	2585	2022-04-04
South Shore (Pittsburgh)	263	250	6	0	0	754	67	123	14	631	53	2022-04-04
South Versailles	190	356	37	3	9	674	102	163	26	511	76	2022-04-04
Southside Flats (Pittsburgh)	6392	20342	1292	13	50	50091	2437	4326	404	45766	2026	2022-04-04
Southside Slopes (Pittsburgh)	2736	3650	238	2	26	9228	1085	1772	193	7454	889	2022-04-04
